,tweet_id,text,favorite_count,retweet_count,created_at
65,1412955772359643142,"RT @EiProfeta: Harry Potter, El Señor de los Anillos y Shrek se estrenaron hace 20 años.

Yo: https://t.co/rPxkuT7YdB",0,1023,Thu Jul 08 02:04:42 +0000 2021
66,1412955769163616259,RT @marlvswtson: todo era más lindo cuando Harry Potter estaba en Netflix,0,758,Thu Jul 08 02:04:41 +0000 2021
67,1412955760779317250,"me deu vontade de assistir harry potter, única vez q qssisti tinha uns 6 anos lembro NADA, será q assisto?",0,0,Thu Jul 08 02:04:39 +0000 2021
68,1412955749093838850,"RT @HpInfoJapan: 【NEWS】
舞台『ハリー・ポッターと呪いの子』ロンドン公演が、10月14日より再開が決定！
コロナウイルス感染拡大防止のため、約1年半の休止を経て、ファン念願の再開です。

一新されたポスターも公開された『呪いの子』は、2022年日本上陸予定…",0,205,Thu Jul 08 02:04:36 +0000 2021
69,1412955723118505985,"hou_ouin Excuse me, but I heard these work from Wataru so... Do you read Harry Potter? Your smile is like expelliar… https://t.co/dt9g6GkakN",0,0,Thu Jul 08 02:04:30 +0000 2021
70,1412955714339868672,"RT @EiProfeta: Harry Potter, El Señor de los Anillos y Shrek se estrenaron hace 20 años.

Yo: https://t.co/rPxkuT7YdB",0,1023,Thu Jul 08 02:04:28 +0000 2021
71,1412955713471582219,RT @shimshinn: Harry Potter                 🤝                  JAKE https://t.co/hijwFDgLC3,0,7,Thu Jul 08 02:04:28 +0000 2021
72,1412955710833364995,"RT @PotterWorldUK: 7 July 2011: Ten years ago Harry Potter and the Deathly Hallows: Part 2 premiered in London.

#10YearsDeathlyHallows2Pre…",0,561,Thu Jul 08 02:04:27 +0000 2021
73,1412955700867870721,"@SadBoyBarrett This may not mean much, but I’ve been following KF from the start and you’ve been an integral part o… https://t.co/fhgZNM38Fz",0,0,Thu Jul 08 02:04:25 +0000 2021
74,1412955697273208833,"Quieres ver las 8 películas de Harry Potter conmigo?

Enviar*",0,0,Thu Jul 08 02:04:24 +0000 2021
75,1412955685822910467,@wesdergucht as Harry Potter https://t.co/X28Do7WBYA,2,0,Thu Jul 08 02:04:21 +0000 2021
76,1412955659407003650,"RT @jupitbur: if you’re in any sub twt, i don’t care if it’s kpop, mcyt, harry potter, genshin idc. read this thread!! /safe",0,41,Thu Jul 08 02:04:15 +0000 2021
77,1412955655967711235,"RT @HpInfoJapan: 【NEWS】
舞台『ハリー・ポッターと呪いの子』ロンドン公演が、10月14日より再開が決定！
コロナウイルス感染拡大防止のため、約1年半の休止を経て、ファン念願の再開です。

一新されたポスターも公開された『呪いの子』は、2022年日本上陸予定…",0,205,Thu Jul 08 02:04:14 +0000 2021
78,1412955641505779713,acho que hoje eu finalizo Harry Potter e o Enigma do Príncipe.,0,0,Thu Jul 08 02:04:11 +0000 2021
79,1412955619955462148,"RT @PotterWorldUK: 7 July 2011: Ten years ago Harry Potter and the Deathly Hallows: Part 2 premiered in London.

#10YearsDeathlyHallows2Pre…",0,561,Thu Jul 08 02:04:05 +0000 2021
80,1412955593057480705,Mi mamá se enojó con mi hermano xq nunca vio harry potter same,0,0,Thu Jul 08 02:03:59 +0000 2021
81,1412955555254124549,"@justinjarrett Eh, no Harry Potter allowed here.",0,0,Thu Jul 08 02:03:50 +0000 2021
82,1412955554142633984,"Reparem! Um ambiente escuro, os senadores em pé, ao redor de Omar Aziz, quem estava longe se aproximando. Ele falan… https://t.co/dCEJJdaKHe",0,0,Thu Jul 08 02:03:50 +0000 2021
83,1412955553404489729,"RT @rowlinglibrary: Ten years ago: Premiere of Harry Potter and the Deathly Hallows - Part 2 at Trafalgar Square on July 7, 2011 in London.…",0,72,Thu Jul 08 02:03:50 +0000 2021
